id;area_name;sub_area_name;tenant_id
1;"agricultura";"Plantas daninhas";"5e932b6676b8ba3a62d05a5b"
2;"caprino";"Alimentação";"5e932b6676b8ba3a62d05a5b"
3;"agricultura";"Fertilidade";"5e932b6676b8ba3a62d05a5b"
4;"agricultura";"Pragas";"5e932b6676b8ba3a62d05a5b"
5;"aves";"Controle de doenças";"5e932b6676b8ba3a62d05a5b"
6;"bem-estar";"Programa de mulheres";"5e932b6676b8ba3a62d05a5b"
7;"bovino";"Pastagens";"5e932b6676b8ba3a62d05a5b"
8;"bem-estar";"Economia do lar";"5e932b6676b8ba3a62d05a5b"
9;"agricultura";"Plantas daninhas";"6128e93edd787b27f8a7abd3"
10;"agricultura";"Doenças";"6128e93edd787b27f8a7abd3"
11;"agricultura";"Pragas";"6128e93edd787b27f8a7abd3"
12;"agricultura";"Fertilidade";"6128e93edd787b27f8a7abd3"
13;"aves";"Alimentação";"5e932b6676b8ba3a62d05a5b"
14;"bovino";"Fertilidade";"5e932b6676b8ba3a62d05a5b"
15;"caprino";"Pastagens";"5e932b6676b8ba3a62d05a5b"
16;"suíno";"Controle de doenças";"5e932b6676b8ba3a62d05a5b"
17;"crédito rural";"Processo";"5e932b6676b8ba3a62d05a5b"
18;"suíno";"Fertilidade";"5e932b6676b8ba3a62d05a5b"
19;"agricultura";"Doenças";"5e932b6676b8ba3a62d05a5b"
20;"aves";"Controle de doenças";"6128e93edd787b27f8a7abd3"
21;"bem-estar";"Economia do lar";"6128e93edd787b27f8a7abd3"
22;"bem-estar";"Adolescentes";"6128e93edd787b27f8a7abd3"
23;"bem-estar";"Adolescentes";"5e932b6676b8ba3a62d05a5b"
24;"bovino";"Controle de doenças";"5e932b6676b8ba3a62d05a5b"
25;"bovino";"Alimentação";"5e932b6676b8ba3a62d05a5b"
26;"agricultura";"Doenças";"61488968a61283de7b107b05"
27;"agricultura";"Plantas daninhas";"61488968a61283de7b107b05"
28;"suíno";"Alimentação";"61488968a61283de7b107b05"
29;"agricultura";"Fertilidade";"61488968a61283de7b107b05"
30;"aves";"Alimentação";"61488968a61283de7b107b05"
31;"agricultura";"Pragas";"61488968a61283de7b107b05"
32;"bovino";"Pastagens";"61488968a61283de7b107b05"
33;"aves";"Controle de doenças";"61488968a61283de7b107b05"
34;"bem-estar";"Programa de mulheres";"61488968a61283de7b107b05"
35;"bem-estar";"Adolescentes";"61488968a61283de7b107b05"
36;"bovino";"Fertilidade";"61488968a61283de7b107b05"
37;"bem-estar";"Economia do lar";"61488968a61283de7b107b05"
38;"crédito rural";"Solicitação";"61488968a61283de7b107b05"
39;"crédito rural";"Formulários";"61488968a61283de7b107b05"
40;"suíno";"Fertilidade";"61488968a61283de7b107b05"
41;"caprino";"Pastagens";"61488968a61283de7b107b05"
42;"suíno";"Alimentação";"6128e93edd787b27f8a7abd3"
43;"bovino";"Alimentação";"61488968a61283de7b107b05"
44;"suíno";"Controle de doenças";"61488968a61283de7b107b05"
45;"caprino";"Fertilidade";"5e932b6676b8ba3a62d05a5b"
