id;type;name;tenant_id
1;"soybean";"SOJA";"5fa296daf187cd6dfe3bd6c0"
2;"corn";"MILHO";"5e932b6676b8ba3a62d05a5b"
3;"soybean";"SOJA";"5e932b6676b8ba3a62d05a5b"
4;"cotton";"ALGODÃO";"5e932b6676b8ba3a62d05a5b"
5;"corn";"MILHO";"6048139a2060b7465875b0ff"
6;"soybean";"SOJA";"6048139a2060b7465875b0ff"
7;"cotton";"ALGODÃO";"6048139a2060b7465875b0ff"
8;"soybean";"SOJA";"604813d32060b7465875b105"
9;"cotton";"ALGODÃO";"604813d32060b7465875b105"
10;"corn";"MILHO";"604813d32060b7465875b105"
11;"soybean";"SOJA";"604816d42060b7465875b10b"
12;"soybean";"SOJA";"6128e93edd787b27f8a7abd3"
13;"corn";"MILHO";"6128e93edd787b27f8a7abd3"
14;"corn";"MILHO";"61488968a61283de7b107b05"
15;"cotton";"ALGODÃO";"61488968a61283de7b107b05"
16;"corn";"MILHO";"5fa296daf187cd6dfe3bd6c0"
17;"corn";"MILHO";"604816d42060b7465875b10b"
18;"cotton";"ALGODÃO";"604816d42060b7465875b10b"
19;"cotton";"ALGODÃO";"6128e93edd787b27f8a7abd3"
20;"soybean";"SOJA";"61488968a61283de7b107b05"
