id;scientific_name;name
0;"";"SEM INFESTAÇÃO"
1;"UROCHLOA DECUMBENS";"CAPIM BRAQUIARIA"
2;"SORGHUM HALEPENSE";"CAPIM MASSAMBARÁ"
3;"CONYZA SPP";"BUVA"
4;"ALTERNANTHERA TENELLA";"APAGA FOGO"
5;"AMARANTHUS SPP";"CARURU"
6;"BIDENS SPP";"PICÃO PRETO"
7;"CENCHRUS ECHINATUS";"CAPIM CARRAPICHO"
8;"COMMELINA BENGHALENSIS";"TRAPOERABA"
9;"DIGITARIA HORIZONTALIS";"CAPIM COLCHĂO"
10;"DIGITARIA INSULARIS";"CAPIM AMARGOSO"
11;"ELEUSINE INDICA";"PÉ DE GALINHA"
12;"EMILIA SONCHIFOLIA";"FALSA SERRALHA"
13;"EUPHORBIA HETEROPHYLLA";"LEITEIRO"
14;"IPOMOEA SPP";"CORDA DE VIOLA"
15;"PARTHENIUM HYSTEROPHORUS";"LOSNA BRANCA"
16;"RAPHANUS RAPHANISTRUM";"NABIÇA"
17;"RICHARDIA BRASILIENSIS";"POAIA BRANCA"
18;"SIDA SPP";"GUANXUMA"
19;"SOLANUM AMERICANUM";"MARIA PRETINHA"
20;"TRIDAX PROCUMBENS";"ERVA DE TOURO"
21;"PORTULACA OLERACEA";"BELDROEGA"
22;"ALTERNANTHERA TENELA";"APAGA FOGO"
23;"SENNA OBTUSIFOLIA";"FEDEGOSO"
24;"LOLIUM MULTIFLORUM";"AZEVÉM"
25;"EUPATHORIUM PAUCIFOLORUM";"CAMBARÁ"
26;"CYNODON DACTYLON";"GRAMA SEDA"
27;"ECHINOCHLOA CRUSGALLI";"CAPIM ARROZ"
28;"GOSSYPIUM HIRSUTUM L";"ALGODÃO"
29;"SORGHUM SPP";"CAPIM MASSAMBARÁ"
30;"BRACHIARIA SPP";"CAPIM BRAQUIÁRIA"
31;"RAPHANUS SPP";"NABIÇA"
32;"SOLANUM SPP";"-"
33;"DIGITARIA SPP";"CAPIM COLCHĂO"
34;"ALTERNANTHERA SPP";"APAGA FOGO"
35;"ECHINOCHLOA SPP";"CAPIM ARROZ"
36;"COMMELINA SPP";"TRAPOERABA"
37;"SENNA SPP";"FEDEGOSO"
38;"EUPATORIUM SPP";"CAMBARÁ"
39;"GOSSYPIUM HIRSUTUM";"ALGODÃO"
